as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
2002-12-31,spell-A-20000605,,A,A,Agilent Technologies,Agilent Technologies,2000-06-05,,fja_history,reused_symbol_requires_override
2002-12-31,spell-AABA-19991208,,AABA,AABA,AABA,,1999-12-08,2017-06-19,fja_history,auto
2002-12-31,spell-AAMRQ-19960102,,AAMRQ,AAMRQ,AAMRQ,,1996-01-02,2003-03-14,fja_history,auto
2002-12-31,spell-AAPL-19960102,,AAPL,AAPL,Apple Inc.,Apple Inc.,1996-01-02,,fja_history,reused_symbol_requires_override
2002-12-31,spell-ABC-20010830,,ABC,ABC,ABC,,2001-08-30,2023-08-30,fja_history,reused_symbol_requires_override
2002-12-31,spell-ABI-19960102,,ABI,ABI,ABI,,1996-01-02,2008-11-24,fja_history,reused_symbol_requires_override
2002-12-31,spell-ABKFQ-20001211,,ABKFQ,ABKFQ,ABKFQ,,2000-12-11,2008-06-11,fja_history,auto
2002-12-31,spell-ABS-19960102,,ABS,ABS,Albertsons,,1996-01-02,2006-06-02,fja_history,reused_symbol_requires_override
2002-12-31,spell-ABT-19960102,,ABT,ABT,Abbott Laboratories,Abbott Laboratories,1996-01-02,,fja_history,auto
2002-12-31,spell-ACV-19960102,,ACV,ACV,ACV,,1996-01-02,2006-11-17,fja_history,reused_symbol_requires_override
2002-12-31,spell-ADBE-19970506,,ADBE,ADBE,Adobe Inc.,Adobe Inc.,1997-05-06,,fja_history,auto
2002-12-31,spell-ADCT-19990802,,ADCT,ADCT,ADC Telecommunications,,1999-08-02,2007-07-02,fja_history,auto
2002-12-31,spell-ADI-19991012,,ADI,ADI,Analog Devices,Analog Devices,1999-10-12,,fja_history,auto
2002-12-31,spell-ADM-19960102,,ADM,ADM,Archer Daniels Midland,Archer Daniels Midland,1996-01-02,,fja_history,reused_symbol_requires_override
2002-12-31,spell-ADP-19960102,,ADP,ADP,Automatic Data Processing,Automatic Data Processing,1996-01-02,,fja_history,reused_symbol_requires_override
2002-12-31,spell-ADSK-19960102,,ADSK,ADSK,Autodesk,Autodesk,1996-01-02,,fja_history,reused_symbol_requires_override
2002-12-31,spell-AEE-19960102,,AEE,AEE,Ameren,Ameren,1996-01-02,,fja_history,reused_symbol_requires_override
2002-12-31,spell-AEP-19960102,,AEP,AEP,American Electric Power,American Electric Power,1996-01-02,,fja_history,auto
2002-12-31,spell-AES-19981002,,AES,AES,AES Corporation,AES Corporation,1998-10-02,,fja_history,auto
2002-12-31,spell-AET-19960102,,AET,AET,Aetna,,1996-01-02,2018-11-29,fja_history,reused_symbol_requires_override
2002-12-31,spell-AFL-19990528,,AFL,AFL,Aflac,Aflac,1999-05-28,,fja_history,auto
2002-12-31,spell-AGN-19960102,,AGN,AGN,Allergan,,1996-01-02,2020-05-12,fja_history,reused_symbol_requires_override
2002-12-31,spell-AIG-19960102,,AIG,AIG,American International Group,American International Group,1996-01-02,,fja_history,auto
2002-12-31,spell-ALL-19960102,,ALL,ALL,Allstate,Allstate,1996-01-02,,fja_history,reused_symbol_requires_override
2002-12-31,spell-ALTR-20000418,,ALTR,ALTR,Altera,,2000-04-18,2015-12-28,fja_history,auto
2002-12-31,spell-AM-19960102,,AM,AM,AM,,1996-01-02,2004-05-03,fja_history,reused_symbol_requires_override
2002-12-31,spell-AMAT-19960102,,AMAT,AMAT,Applied Materials,Applied Materials,1996-01-02,,fja_history,reused_symbol_requires_override
2002-12-31,spell-AMCC-20010102,,AMCC,AMCC,AMCC,,2001-01-02,2006-05-18,fja_history,auto
2002-12-31,spell-AMD-19960102,,AMD,AMD,Advanced Micro Devices,Advanced Micro Devices,1996-01-02,2013-09-23,fja_history,reused_symbol_requires_override
2002-12-31,spell-AMGN-19960102,,AMGN,AMGN,Amgen,Amgen,1996-01-02,,fja_history,reused_symbol_requires_override
2002-12-31,spell-ANDW-19960102,,ANDW,ANDW,ANDW,,1996-01-02,2006-10-02,fja_history,reused_symbol_requires_override
