as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1987-12-31,permno-14593-19821118,14593,AAPL,AAPL,APPLE COMPUTER INC; APPLE INC,,1982-11-18,1996-01-02,wrds,reused_symbol_requires_override
1987-12-31,permno-27713-19741017,27713,ABI,"PKN, PEB, ABI",P E CORP; PERKIN ELMER CORP; APPLIED BIOSYSTEMS INC DEL; APPLERA CORP,,1974-10-17,1996-01-02,wrds,ticker_history_requires_override
1987-12-31,permno-50032-19841123,50032,ABS,ABS,ALBERTSONS INC,,1984-11-23,1996-01-02,wrds,reused_symbol_requires_override
1987-12-31,permno-19692-19570301,19692,ACK,ACK,ARMSTRONG WORLD INDUSTRIES INC; ARMSTRONG CORK CO; ARMSTRONG HOLDINGS INC,,1957-03-01,1996-01-02,wrds,auto
1987-12-31,permno-42083-19710304,42083,ACV,ACV,ALBERTO CULVER CO; ALBERTO CULVER CO NEW,,1971-03-04,1996-01-02,wrds,reused_symbol_requires_override
1987-12-31,permno-23341-19570301,23341,ACY,ACY,AMERICAN CYANAMID CO,,1957-03-01,1994-09-26,wrds,auto
1987-12-31,permno-10516-19810730,10516,ADM,ADM,ARCHER DANIELS MIDLAND CO,,1981-07-30,1996-01-02,wrds,reused_symbol_requires_override
1987-12-31,permno-44644-19810226,44644,ADP,"AUD, ADP",AUTOMATIC DATA PROCESSING INC,,1981-02-26,1996-01-02,wrds,ticker_history_requires_override
1987-12-31,permno-19596-19570301,19596,AEG,"UAL, AEG",U A L INC; U A L CORP; ALLEGIS CORP; UNITED AIR LINES INC; UNITED AIR LINES TRANS CORP,,1957-03-01,1994-07-12,wrds,ticker_history_requires_override
1987-12-31,permno-46850-19760701,46850,AET,AET,AETNA INC; AETNA LIFE & CASUALTY CO,,1976-07-01,1996-01-02,wrds,reused_symbol_requires_override
1987-12-31,permno-48397-19760701,48397,AGC,AGC,AMERICAN GENERAL CORP; AMERICAN GENERAL INS CO,,1976-07-01,1996-01-02,wrds,reused_symbol_requires_override
1987-12-31,permno-56266-19730531,56266,AHM,"AHMN, AHM",AHMANSON H F & CO,,1973-05-31,1996-01-02,wrds,ticker_history_requires_override
