as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1996-12-31,spell-AAL-19960102,,AAL,AAL,American Airlines Group,,1996-01-02,1997-01-15,fja_history,reused_symbol_requires_override
1996-12-31,spell-AAMRQ-19960102,,AAMRQ,AAMRQ,AAMRQ,,1996-01-02,2003-03-14,fja_history,auto
1996-12-31,spell-AAPL-19960102,,AAPL,AAPL,Apple Inc.,Apple Inc.,1996-01-02,,fja_history,reused_symbol_requires_override
1996-12-31,spell-ABI-19960102,,ABI,ABI,ABI,,1996-01-02,2008-11-24,fja_history,reused_symbol_requires_override
1996-12-31,spell-ABS-19960102,,ABS,ABS,Albertsons,,1996-01-02,2006-06-02,fja_history,reused_symbol_requires_override
1996-12-31,spell-ABT-19960102,,ABT,ABT,Abbott Laboratories,Abbott Laboratories,1996-01-02,,fja_history,auto
1996-12-31,spell-ABX-19960102,,ABX,ABX,ABX,,1996-01-02,2002-07-22,fja_history,auto
1996-12-31,spell-ACKH-19960102,,ACKH,ACKH,ACKH,,1996-01-02,2000-11-17,fja_history,auto
1996-12-31,spell-ACV-19960102,,ACV,ACV,ACV,,1996-01-02,2006-11-17,fja_history,reused_symbol_requires_override
1996-12-31,spell-ADM-19960102,,ADM,ADM,Archer Daniels Midland,Archer Daniels Midland,1996-01-02,,fja_history,reused_symbol_requires_override
1996-12-31,spell-ADP-19960102,,ADP,ADP,Automatic Data Processing,Automatic Data Processing,1996-01-02,,fja_history,reused_symbol_requires_override
1996-12-31,spell-ADSK-19960102,,ADSK,ADSK,Autodesk,Autodesk,1996-01-02,,fja_history,reused_symbol_requires_override
1996-12-31,spell-AEE-19960102,,AEE,AEE,Ameren,Ameren,1996-01-02,,fja_history,reused_symbol_requires_override
1996-12-31,spell-AEP-19960102,,AEP,AEP,American Electric Power,American Electric Power,1996-01-02,,fja_history,auto
1996-12-31,spell-AET-19960102,,AET,AET,Aetna,,1996-01-02,2018-11-29,fja_history,reused_symbol_requires_override
1996-12-31,spell-AGC-19960102,,AGC,AGC,AGC,,1996-01-02,2001-08-29,fja_history,reused_symbol_requires_override
1996-12-31,spell-AGN-19960102,,AGN,AGN,Allergan,,1996-01-02,2020-05-12,fja_history,reused_symbol_requires_override
1996-12-31,spell-AHM-19960102,,AHM,AHM,AHM,,1996-01-02,1998-10-01,fja_history,reused_symbol_requires_override
1996-12-31,spell-AIG-19960102,,AIG,AIG,American International Group,American International Group,1996-01-02,,fja_history,auto
1996-12-31,spell-AIT-19960102,,AIT,AIT,AIT,,1996-01-02,1999-10-11,fja_history,reused_symbol_requires_override
1996-12-31,spell-AL-19960102,,AL,AL,AL,,1996-01-02,2002-07-22,fja_history,reused_symbol_requires_override
1996-12-31,spell-ALL-19960102,,ALL,ALL,Allstate,Allstate,1996-01-02,,fja_history,reused_symbol_requires_override
1996-12-31,spell-AM-19960102,,AM,AM,AM,,1996-01-02,2004-05-03,fja_history,reused_symbol_requires_override
1996-12-31,spell-AMAT-19960102,,AMAT,AMAT,Applied Materials,Applied Materials,1996-01-02,,fja_history,reused_symbol_requires_override
