as_of_date,member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,quote_status
1984-12-31,permno-14593-19821118,14593,AAPL,AAPL,APPLE COMPUTER INC; APPLE INC,,1982-11-18,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-10233-19690515,10233,ABC,"ABP, ABC",FAMOUS PLAYERS LASKY CORP; PARAMOUNT FAMOUS LASKY CORP; PARAMOUNT PUBLIX CORP; PARAMOUNT PICTURES INC; AMERICAN BROADCASTING PARAMOUNT; UNITED PARAMOUNT THEATRES INC; AMERICAN BROADCASTING COS INC,,1969-05-15,1986-01-08,wrds,ticker_history_requires_override
1984-12-31,permno-27713-19741017,27713,ABI,"PKN, PEB, ABI",P E CORP; PERKIN ELMER CORP; APPLIED BIOSYSTEMS INC DEL; APPLERA CORP,,1974-10-17,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-50032-19841123,50032,ABS,ABS,ALBERTSONS INC,,1984-11-23,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-19692-19570301,19692,ACK,ACK,ARMSTRONG WORLD INDUSTRIES INC; ARMSTRONG CORK CO; ARMSTRONG HOLDINGS INC,,1957-03-01,1996-01-02,wrds,auto
1984-12-31,permno-42083-19710304,42083,ACV,ACV,ALBERTO CULVER CO; ALBERTO CULVER CO NEW,,1971-03-04,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-23341-19570301,23341,ACY,ACY,AMERICAN CYANAMID CO,,1957-03-01,1994-09-26,wrds,auto
1984-12-31,permno-10487-19570301,10487,AD,AD,AMSTED INDUSTRIES INC; AMERICAN STEEL FOUNDRIES,,1957-03-01,1986-05-07,wrds,auto
1984-12-31,permno-10516-19810730,10516,ADM,ADM,ARCHER DANIELS MIDLAND CO,,1981-07-30,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-44644-19810226,44644,ADP,"AUD, ADP",AUTOMATIC DATA PROCESSING INC,,1981-02-26,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-19596-19570301,19596,AEG,"UAL, AEG",U A L INC; U A L CORP; ALLEGIS CORP; UNITED AIR LINES INC; UNITED AIR LINES TRANS CORP,,1957-03-01,1994-07-12,wrds,ticker_history_requires_override
1984-12-31,permno-46850-19760701,46850,AET,AET,AETNA INC; AETNA LIFE & CASUALTY CO,,1976-07-01,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-48397-19760701,48397,AGC,AGC,AMERICAN GENERAL CORP; AMERICAN GENERAL INS CO,,1976-07-01,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-10153-19770630,10153,AH,AH,ALLIS CHALMERS MFG CO; ALLIS CHALMERS CORP,,1977-06-30,1987-07-08,wrds,reused_symbol_requires_override
1984-12-31,permno-56266-19730531,56266,AHM,"AHMN, AHM",AHMANSON H F & CO,,1973-05-31,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-27190-19720914,27190,AHS,AHS,AMERICAN HOSPITAL SUPPLY CORP,,1972-09-14,1985-11-20,wrds,auto
1984-12-31,permno-66800-19800214,66800,AIGR,"AIG, AIGR",AMERICAN INTERNATIONAL GROUP INC,,1980-02-14,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-65859-19831201,65859,AIT,AIT,AMERITECH CORP; AMERICAN INFORMATION TECHS CORP,,1983-12-01,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-24264-19570301,24264,AL,AL,ALCAN INC; ALCAN ALUMINUM LTD; ALUMINUM LTD,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-17304-19570301,17304,ALS,ALS,ALLIED STORES CORP; HAHN DEPT STORES INC,,1957-03-01,1987-01-07,wrds,auto
1984-12-31,permno-61241-19840621,61241,AMD,"AMDV, AMD",ADVANCED MICRO DEVICES INC,,1984-06-21,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-15763-19570301,15763,AMF,AMF,AMERICAN MACH & FDRY CO; A M F INC,,1957-03-01,1985-10-09,wrds,auto
1984-12-31,permno-46754-19790208,46754,AMI,AMI,AMERICAN MEDICAL INTL INC; AMERICAN MEDICAL ENTERPRISES INC,,1979-02-08,1989-10-25,wrds,auto
1984-12-31,permno-10321-19570301,10321,AMO,AMO,NASH KELVINATOR CORP; AMERICAN MOTORS CORP; NASH MOTORS CO,,1957-03-01,1987-08-05,wrds,auto
1984-12-31,permno-27051-19670413,27051,AMP,AMP,A M P INC,,1967-04-13,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-21020-19570301,21020,AMR,"AAL, AMR",A M R CORP DEL; AMERICAN AIRLINES GROUP INC; AMERICAN AIRLS INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-10057-19570301,10057,AMT,"NCM, AMT",ACME CLEVELAND CORP NEW; NATIONAL ACME CO; ACME CLEVELAND CORP,,1957-03-01,1992-07-02,wrds,ticker_history_requires_override
1984-12-31,permno-10161-19570301,10161,AMX,AMX,AMERICAN METAL CLIMAX INC; AMERICAN METAL LTD; AMAX INC,,1957-03-01,1993-11-12,wrds,auto
1984-12-31,permno-19553-19570301,19553,AN,"SN, AN",STANDARD OIL CO IND; AMOCO CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-14323-19841123,14323,ANDW,ANDW,ANDREW CORP,,1984-11-23,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-24141-19570301,24141,ANR,"ANG, ANR",AMERICAN NAT GAS CO; AMERICAN NATURAL GAS CO; AMERICAN NATURAL RESOURCE CO,,1957-03-01,1985-05-22,wrds,ticker_history_requires_override
1984-12-31,permno-10364-19570301,10364,AR,AR,AMERICAN SMLT & REFNG CO; ASARCO INC,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-10604-19570301,10604,ARC,"AFI, ARC",ATLANTIC REFNG CO; ATLANTIC RICHFIELD CO,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-17566-19570301,17566,AS,AS,AMERICAN ROLLING ML CO; ARMCO STL CORP; ARMCO INC,,1957-03-01,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-26649-19680808,26649,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,,1968-08-08,1989-08-02,wrds,auto
1984-12-31,permno-10372-19570301,10372,AST,AST,AMERICAN RADIATOR CO; AMERICAN STANDARD INC; AMERICAN RADIATOR & STD SAN CORP,,1957-03-01,1988-04-27,wrds,auto
1984-12-31,permno-40416-19670518,40416,AVP,AVP,AVON PRODUCTS INC,,1967-05-18,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-59176-19760701,59176,AXP,"AEXP, AXP",AMERICAN EXPRESS CO,,1976-07-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-59408-19760701,59408,BAC,"NCB, NCNB, NB, BAC",BANK OF AMERICA CORP; NATIONSBANK CORP; N C N B CORP; BANKAMERICA CORP NEW,,1976-07-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-58827-19760701,58827,BAC,"BAMR, BAM, BAC",BANKAMERICA CORP,,1976-07-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-27887-19720914,27887,BAX,BAX,BAXTER TRAVENOL LABS INC; BAXTER INTERNATIONAL INC; BAXTER LABS INC,,1972-09-14,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-61284-19841004,61284,BBF,"BBI, BNET, BBF",BARNETT BANKS FLA INC; BARNETT BANKS INC,,1984-10-04,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-10874-19730301,10874,BC,BC,BRUNSWICK CORP; BRUNSWICK BALKE COLLENDER CO,,1973-03-01,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-46877-19750612,46877,BCR,BCR,BARD C R INC,,1975-06-12,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-20220-19760115,20220,BDK,BDK,BLACK & DECKER CORP; BLACK & DECKER MFG CO,,1976-01-15,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-39642-19720914,39642,BDX,BDX,BECTON DICKINSON & CO,,1972-09-14,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-65875-19831201,65875,BEL,"VZ, BEL",VERIZON COMMUNICATIONS INC; BELL ATLANTIC CORP,,1983-12-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-29946-19821014,29946,BFD,"BF, BFD",BROWN FORMAN DISTILLERS CORP; BROWN FORMAN CORP; BROWN FORMAN INC,,1982-10-14,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-53786-19750814,53786,BFI,BFI,BROWNING FERRIS INDUSTRIES INC,,1975-08-14,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-10866-19570301,10866,BG,"BWS, CAL, BG",BROWN SHOE INC; CALERES INC; BROWN SHOE CO INC NEW; BROWN SHOE CO INC; BROWN GROUP INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-24221-19570301,24221,BGE,"CEG, BGE",CONSOLIDATED GAS ELEC LT & PWR; BALTIMORE GAS & ELECTRIC CO; CONSTELLATION ENERGY GROUP INC,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-17961-19680404,17961,BGG,BGG,BRIGGS & STRATTON CORP,,1968-04-04,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-10890-19570301,10890,BGH,"UIS, BGH",BURROUGHS ADDING MACH CO; BURROUGHS CORP; UNISYS CORP,,1957-03-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-29962-19830811,29962,BGT,"FIN, BUG, BGT",FINANCIAL CORP AMER; BUDGET INDUSTRIES INC; BUDGET FINANCIAL PLAN INC,,1983-08-11,1988-04-13,wrds,ticker_history_requires_override
1984-12-31,permno-40352-19730802,40352,BHS,"CHH, EMP, BHS",EMPORIUM CAPWELL CO CA; BROADWAY HALE STORES INC NEW; CARTER HAWLEY HALE STORES INC,,1973-08-02,1991-02-12,wrds,ticker_history_requires_override
1984-12-31,permno-51772-19760701,51772,BKB,"FB, BKB",BANKBOSTON CORP; BANK OF BOSTON CORP; FIRST NATIONAL BOSTON CORP,,1976-07-01,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-57488-19750206,57488,BKI,BKI,BEKER INDUSTRIES CORP,,1975-02-06,1985-10-23,wrds,auto
1984-12-31,permno-28134-19620110,28134,BKO,BKO,BAKER INTERNATIONAL CORP; BAKER OIL TOOLS INC,,1962-01-10,1987-04-08,wrds,auto
1984-12-31,permno-57568-19841004,57568,BLL,"BALL, BLL",BALL CORP,,1984-10-04,1996-01-02,wrds,ticker_history_requires_override
1984-12-31,permno-65883-19831201,65883,BLS,BLS,BELLSOUTH CORP,,1983-12-01,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-43772-19780720,43772,BMS,BMS,BEMIS CO INC,,1978-07-20,1996-01-02,wrds,reused_symbol_requires_override
1984-12-31,permno-16571-19570301,16571,BN,BN,BORDEN CO; BORDEN INC,,1957-03-01,1994-12-20,wrds,auto
1984-12-31,permno-50227-19700305,50227,BNI,BNI,BURLINGTON NORTHERN SANTA FE CP; BURLINGTON NORTHERN INC,,1970-03-05,1996-01-02,wrds,reused_symbol_requires_override
