date,member_id,symbol,quote_symbol,company_name,close,adj_close,volume
2003-01-02,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.978479385375977,9.735190391540527,20914417.0
2003-01-03,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,18.15355110168457,9.829989433288574,11466451.0
2003-01-06,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,18.270265579223633,9.89319133758545,8846051.0
2003-01-07,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.448776245117188,9.448362350463867,14261946.0
2003-01-08,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.888700485229492,9.686578750610352,10159704.0
2003-01-09,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.947057723999023,9.71817398071289,8390048.0
2003-01-10,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.857276916503906,9.669561386108398,6476040.0
2003-01-13,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.700162887573242,9.641441345214844,6124515.0
2003-01-14,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.534067153930664,9.5509672164917,18371762.0
2003-01-15,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.03578758239746,9.279550552368164,21478461.0
2003-01-16,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.596914291381836,9.58520221710205,18208697.0
2003-01-17,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.0582332611084,9.291776657104492,20163694.0
2003-01-21,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.24228286743164,9.3920316696167,12113587.0
2003-01-22,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.161481857299805,9.348015785217285,7710388.0
2003-01-23,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.18392562866211,9.360245704650879,8726871.0
2003-01-24,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,16.766447067260742,9.132843017578125,7812638.0
2003-01-27,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,16.59137725830078,9.037473678588867,8832239.0
2003-01-28,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,16.92356300354004,9.218420028686523,7887933.0
2003-01-29,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.139036178588867,9.33579158782959,8409652.0
2003-01-30,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.04476547241211,9.284440994262695,8779444.0
2003-01-31,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.112102508544922,9.32111930847168,7875235.0
2003-02-03,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,17.013343811035156,9.267325401306152,6654921.0
2003-02-04,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,16.699113845825195,9.096159934997559,8144782.0
2003-02-05,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,16.555463790893555,9.017914772033691,5826453.0
