date,member_id,symbol,quote_symbol,company_name,close,adj_close,volume
1993-01-04,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.4184269905090332,0.14436492323875427,398994.0
1993-01-05,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.41344600915908813,0.1426464170217514,291090.0
1993-01-06,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.4184269905090332,0.14436492323875427,60226.0
1993-01-07,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.41344600915908813,0.1426464170217514,218318.0
1993-01-08,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3935210108757019,0.13577181100845337,2132987.0
1993-01-11,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.398501992225647,0.137490376830101,148054.0
1993-01-12,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.38853999972343445,0.13405339419841766,238393.0
1993-01-13,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.38853999972343445,0.13405339419841766,190714.0
1993-01-14,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3935210108757019,0.13577181100845337,1081550.0
1993-01-15,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3935210108757019,0.13577181100845337,178167.0
1993-01-18,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3935210108757019,0.13577181100845337,328731.0
1993-01-19,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.398501992225647,0.137490376830101,3141765.0
1993-01-20,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.4084649980068207,0.14092770218849182,361353.0
1993-01-21,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.398501992225647,0.137490376830101,230864.0
1993-01-22,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.37857699394226074,0.1306159347295761,677537.0
1993-01-25,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.38853999972343445,0.13405339419841766,230864.0
1993-01-26,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3735960125923157,0.1324288249015808,205771.0
1993-01-27,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.35367101430892944,0.12536603212356567,697612.0
1993-01-28,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3237830102443695,0.11477154493331909,371391.0
1993-01-29,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3138200044631958,0.11124002188444138,1279792.0
1993-02-01,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.29389500617980957,0.10417712479829788,649934.0
1993-02-02,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.2540450096130371,0.09005150198936462,1013796.0
1993-02-03,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.2689889967441559,0.09534873068332672,2205760.0
1993-02-04,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.2889139950275421,0.10241147875785828,1806766.0
1993-02-05,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3038580119609833,0.10770878195762634,2406511.0
1993-02-08,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3038580119609833,0.10770878195762634,948552.0
1993-02-09,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3337459862232208,0.11830316483974457,1048928.0
1993-02-10,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.34370800852775574,0.12183435261249542,838138.0
1993-02-11,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3486889898777008,0.12359998375177383,1028853.0
1993-02-12,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.34370800852775574,0.12183435261249542,732744.0
1993-02-16,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3486889898777008,0.12359998375177383,1839388.0
1993-02-17,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3287639915943146,0.11653714627027512,938514.0
1993-02-18,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3337459862232208,0.11830316483974457,110413.0
1993-02-19,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3337459862232208,0.11830316483974457,143036.0
1993-02-22,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3337459862232208,0.11830316483974457,245921.0
1993-02-23,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3237830102443695,0.11477154493331909,316184.0
1993-02-24,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.31880199909210205,0.11300592124462128,426597.0
1993-02-25,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3237830102443695,0.11477154493331909,617312.0
1993-02-26,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3237830102443695,0.11477154493331909,396485.0
1993-03-01,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3237830102443695,0.11477154493331909,361353.0
1993-03-02,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3237830102443695,0.11477154493331909,210789.0
1993-03-03,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3287639915943146,0.11653714627027512,168130.0
1993-03-04,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.31880199909210205,0.11300592124462128,491842.0
1993-03-05,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3337459862232208,0.11830316483974457,599746.0
1993-03-08,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3586519956588745,0.12713156640529633,4225824.0
1993-03-09,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3735960125923157,0.1324288249015808,1056456.0
1993-03-10,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3686150014400482,0.13066315650939941,639896.0
1993-03-11,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.36363300681114197,0.12889719009399414,170639.0
1993-03-12,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.36363300681114197,0.12889719009399414,240902.0
1993-03-15,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3735960125923157,0.1324288249015808,253449.0
1993-03-16,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3735960125923157,0.1324288249015808,336259.0
1993-03-17,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.37857699394226074,0.134194478392601,150564.0
1993-03-18,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3835580050945282,0.13596008718013763,215808.0
1993-03-19,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3686150014400482,0.13066315650939941,830610.0
1993-03-22,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3686150014400482,0.13066315650939941,562105.0
1993-03-23,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3586519956588745,0.12713156640529633,245921.0
1993-03-24,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3686150014400482,0.13066315650939941,622330.0
1993-03-25,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3735960125923157,0.1324288249015808,245921.0
1993-03-26,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3686150014400482,0.13066315650939941,145545.0
1993-03-29,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.3735960125923157,0.1324288249015808,92848.0
