member_id,permno,symbol,ticker_history,company_name,current_security_name,start_date,end_date,source,cik,gics_sector,gics_sub_industry,headquarters_location,founded,quote_symbol,quote_status,quote_note
permno-21688-19570301,21688,,,SYLVANIA ELEC PRODS INC,,1957-03-01,1959-02-25,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-18171-19570301,18171,SE,SE,SERVEL INC,,1957-03-01,1959-04-01,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-12343-19570301,12343,HW,HW,HOWE SOUND CO DEL; HOWE SOUND CO ME; HOWMET CORP,,1957-03-01,1959-05-27,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-14867-19570301,14867,UV,UV,U V INDUSTRIES INC; UNITED STATES SMLT RFNG & MNG CO,,1957-03-01,1959-05-27,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-22621-19570301,22621,REP,REP,REPUBLIC CORP; REPUBLIC PICTURES CORP,,1957-03-01,1959-07-29,wrds,,,,,,REP,auto,
permno-11375-19570301,11375,COG,COG,CONGOLEUM NAIRN INC,,1957-03-01,1960-02-03,wrds,,,,,,,reused_symbol_requires_override,"The symbol is used by multiple membership spells, so ticker-only quote APIs are ambiguous."
permno-17742-19570301,17742,HH,HH,HOUDAILLE HERSHEY CORP; HOUDAILLE INDUSTRIES INC,,1957-03-01,1960-02-24,wrds,,,,,,HH,auto,
permno-23165-19570301,23165,,,LEES JAMES & SONS CO,,1957-03-01,1960-03-23,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-21784-19570301,21784,,,CORNELL DUBILIER ELEC CORP,,1957-03-01,1960-04-20,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-13151-19570301,13151,,,MIAMI COPPER CO,,1957-03-01,1960-06-22,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-17216-19570301,17216,,,WESSON OIL & SNOWDRIFT INC,,1957-03-01,1960-07-13,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-14832-19570301,14832,,,ARTLOOM INDS INC; ARTLOOM CORP; ARTLOOM CARPET INC; TRANS UTD INDS INC,,1957-03-01,1960-10-26,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-17603-19570301,17603,,,CLETRAC CORP; OLIVER CORP; OLIVER FARM EQUIP CO,,1957-03-01,1960-10-26,wrds,,,,,,,missing_symbol,No symbol was available for this membership spell.
permno-21151-19570301,21151,CNEO,"CUN, CNEO",CUNEO PRESS INC,,1957-03-01,1960-12-14,wrds,,,,,,,ticker_history_requires_override,WRDS reports multiple symbols during the spell; a point-in-time quote symbol is not inferred automatically.
permno-18585-19570301,18585,HPG,HPG,HALL W F PRINTING CO,,1957-03-01,1960-12-14,wrds,,,,,,HPG,auto,
