date,member_id,symbol,quote_symbol,company_name,close,adj_close,volume
2002-01-02,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,25.066625595092773,13.292245864868164,7724868.0
2002-01-02,spell-ADBE-19970506,ADBE,ADBE,Adobe Inc.,15.920000076293944,15.845818519592283,6320600.0
2002-01-02,spell-ADI-19991012,ADI,ADI,Analog Devices,45.34999847412109,27.71017265319824,3349000.0
2002-01-02,spell-AEP-19960102,AEP,AEP,American Electric Power,43.95000076293945,15.986844062805176,789300.0
2002-01-02,spell-AES-19981002,AES,AES,AES Corporation,16.790000915527344,10.715948104858398,2357100.0
2002-01-02,spell-AFL-19990528,AFL,AFL,Aflac,11.890000343322754,7.143275260925293,5265600.0
2002-01-02,spell-AIG-19960102,AIG,AIG,American International Group,1575.0,925.9737548828124,301855.0
2002-01-02,spell-AON-19960423,AON,AON,Aon plc,35.5,25.39710235595703,1507800.0
2002-01-02,spell-APA-19970728,APA,APA,APA Corporation,23.5476188659668,16.176189422607422,4573590.0
2002-01-02,spell-ATI-19960102,ATI,ATI,Allegheny Technologies,16.350000381469727,11.937844276428224,434900.0
2002-01-02,spell-AZO-19970102,AZO,AZO,AutoZone,70.0,70.0,1107900.0
2002-01-02,spell-BA-19960102,BA,BA,Boeing,38.09999847412109,25.23737144470215,3545800.0
2002-01-02,spell-BBT-19971204,BBT,BBT,BBT,19.899999618530277,10.562963485717772,21500.0
2002-01-02,spell-BBY-19990630,BBY,BBY,Best Buy,32.0,17.40222930908203,7276950.0
2002-01-02,spell-BEN-19980429,BEN,BEN,Franklin Resources,11.729999542236328,5.679599285125732,1467600.0
2002-01-02,spell-BF_B-19960102,BF.B,BF-B,Brown–Forman,6.688000202178955,4.147292613983154,1156875.0
2002-01-02,spell-BMY-19960102,BMY,BMY,Bristol Myers Squibb,50.84999847412109,19.800355911254883,5814400.0
2002-01-02,spell-CAR-19960102,CAR,CAR,CAR,30.8799991607666,26.85753059387207,3490875.0
2002-01-02,spell-CAT-19960102,CAT,CAT,Caterpillar Inc.,25.825000762939453,14.176401138305664,4030200.0
2002-01-02,spell-CB-19960102,CB,CB,Chubb Limited,39.470001220703125,24.189645767211918,1206600.0
2002-01-02,spell-CCL-19981222,CCL,CCL,Carnival,27.649999618530277,17.439786911010742,965100.0
2002-01-02,spell-CCU-19970902,CCU,CCU,CCU,6.980000019073486,2.375256299972534,499500.0
2002-01-02,spell-CINF-19971218,CINF,CINF,Cincinnati Financial,34.34013748168945,15.158303260803224,800084.0
2002-01-02,spell-CL-19960102,CL,CL,Colgate-Palmolive,28.809999465942383,16.641576766967773,2360400.0
2002-01-02,spell-CMVT-19991027,CMVT,CMVT,CMVT,12.603300094604492,12.603300094604492,7411385.0
2002-01-02,spell-CNP-19960102,CNP,CNP,CenterPoint Energy,22.59239959716797,7.11883544921875,1228470.0
2002-01-02,spell-COF-19980701,COF,COF,Capital One,53.119998931884766,38.46767425537109,1951800.0
2002-01-02,spell-COP-19960102,COP,COP,ConocoPhillips,22.91523551940918,10.50059700012207,4721661.0
2002-01-02,spell-CPB-19960102,CPB,CPB,Campbell's Company (The),29.850000381469727,14.388070106506348,560500.0
2002-01-02,spell-CTAS-20010301,CTAS,CTAS,Cintas,12.149999618530272,8.983667373657227,3887200.0
2002-01-02,spell-CVG-20000613,CVG,CVG,Convergys,4.662697792053223,3.498404026031494,1008.0
2002-01-02,spell-CVS-19960102,CVS,CVS,CVS Health,14.800000190734863,9.460749626159668,4616800.0
2002-01-02,spell-DE-19960102,DE,DE,Deere & Company,21.700000762939453,13.687543869018556,3800600.0
2002-01-02,spell-DHR-19981118,DHR,DHR,Danaher Corporation,10.13219165802002,6.000606060028076,4630728.0
2002-01-02,spell-DTE-19960102,DTE,DTE,DTE Energy,36.05957412719727,13.402179718017578,519820.0
2002-01-02,spell-DVN-20000830,DVN,DVN,Devon Energy,19.100000381469727,11.523786544799805,2268600.0
2002-01-02,spell-ECL-19960102,ECL,ECL,Ecolab,20.065000534057617,15.193875312805176,924800.0
2002-01-02,spell-ED-19960102,ED,ED,Consolidated Edison,40.77999877929688,14.165102005004885,531600.0
2002-01-02,spell-EFX-19970619,EFX,EFX,Equifax,24.309999465942383,19.59253692626953,1152500.0
2002-01-02,spell-EHC-19970108,EHC,EHC,EHC,59.26810073852539,48.281349182128906,635514.0
2002-01-02,spell-EIX-19960102,EIX,EIX,Edison International,15.449999809265137,7.014511585235596,905900.0
2002-01-02,spell-EOG-20001102,EOG,EOG,EOG Resources,9.522500038146973,6.404083728790283,4561600.0
2002-01-02,spell-EP-19991026,EP,EP,El Paso Corporation,12.0,12.0,0.0
2002-01-02,spell-EQR-20011203,EQR,EQR,Equity Residential,28.75,9.172557830810549,1025000.0
2002-01-02,spell-ETN-19960102,ETN,ETN,Eaton Corporation,18.622499465942383,10.192098617553713,825200.0
2002-01-02,spell-ETR-19960102,ETR,ETR,Entergy,19.899999618530277,7.863258361816406,1528200.0
2002-01-02,spell-F-19960102,F,F,Ford Motor Company,16.219999313354492,6.962274074554443,5755800.0
2002-01-02,spell-FE-19960102,FE,FE,FirstEnergy,35.119998931884766,12.276666641235352,1152000.0
2002-01-02,spell-FITB-19960308,FITB,FITB,Fifth Third Bancorp,61.31999969482422,29.65763664245605,1389300.0
2002-01-02,spell-FLR-20001222,FLR,FLR,Fluor Corporation,18.450000762939453,14.228318214416504,825800.0
2002-01-02,spell-FMCC-19960102,FMCC,FMCC,FMCC,65.52999877929688,55.66727066040039,2621800.0
2002-01-02,spell-FNMA-19960102,FNMA,FNMA,FNMA,79.62000274658203,67.1470947265625,3213100.0
2002-01-02,spell-GD-19960102,GD,GD,General Dynamics,40.005001068115234,23.954294204711918,2150000.0
2002-01-02,spell-GE-19960102,GE,GE,GE Aerospace,196.25030517578125,108.90636444091795,3691921.0
2002-01-02,spell-GLW-19960102,GLW,GLW,Corning Inc.,9.18000030517578,6.032320499420166,8066400.0
2002-01-02,spell-HAL-19960102,HAL,HAL,Halliburton,6.135000228881836,4.138784885406494,21234400.0
2002-01-02,spell-HBAN-19970806,HBAN,HBAN,Huntington Bancshares,17.25,7.313243865966797,1185900.0
2002-01-02,spell-HOG-20000131,HOG,HOG,Harley-Davidson,54.220001220703125,33.5745964050293,1214200.0
2002-01-02,spell-HPQ-19960102,HPQ,HPQ,HP Inc.,9.831971168518066,5.608130931854248,13584358.0
2002-01-02,spell-HSY-19960102,HSY,HSY,Hershey Company (The),33.82500076293945,19.158418655395508,1854400.0
2002-01-02,spell-IBM-19960102,IBM,IBM,IBM,116.15679168701172,60.368465423583984,7178489.0
2002-01-02,spell-INTU-20001211,INTU,INTU,Intuit,20.770000457763672,18.24206924438477,5654600.0
2002-01-02,spell-IP-19960102,IP,IP,International Paper,37.49589157104492,15.7935152053833,2237510.0
2002-01-02,spell-KEY-19960102,KEY,KEY,KeyCorp,24.5,10.552910804748535,2205200.0
2002-01-02,spell-KLAC-19970915,KLAC,KLAC,KLA Corporation,52.29999923706055,27.478975296020508,6156700.0
2002-01-02,spell-KMB-19960102,KMB,KMB,Kimberly-Clark,56.90316390991211,24.80926322937012,1059062.0
2002-01-02,spell-KO-19960102,KO,KO,Coca-Cola Company (The),23.73500061035156,11.792879104614258,8848000.0
2002-01-02,spell-KR-19960102,KR,KR,Kroger,10.260000228881836,7.1876959800720215,13281400.0
2002-01-02,spell-KSS-19980814,KSS,KSS,Kohl's,70.2300033569336,36.176902770996094,1260300.0
2002-01-02,spell-LEG-19991018,LEG,LEG,Leggett & Platt,22.32999992370605,8.992280960083008,643900.0
2002-01-02,spell-LOW-19960102,LOW,LOW,Lowe's,22.684999465942383,15.839070320129396,9312200.0
2002-01-02,spell-MBI-19961203,MBI,MBI,MBIA,53.79999923706055,20.958740234375,599300.0
2002-01-02,spell-MCO-19960102,MCO,MCO,Moody's Corporation,19.989999771118164,15.636557579040527,988600.0
2002-01-02,spell-MDT-19960102,MDT,MDT,Medtronic,50.0,31.016321182250977,4890300.0
2002-01-02,spell-MMM-19960102,MMM,MMM,3M,48.97157287597656,25.0333309173584,5127252.0
2002-01-02,spell-MO-19960102,MO,MO,Altria,46.63999938964844,2.587294578552246,6324600.0
2002-01-02,spell-MOLX-19991201,MOLX,MOLX,Molex,31.25,31.25,518000.0
2002-01-02,spell-MRK-19960102,MRK,MRK,Merck & Co.,57.02289962768555,22.94121360778809,7540465.0
2002-01-02,spell-MSI-19960102,MSI,MSI,Motorola Solutions,56.22430419921875,39.81825637817383,3668591.0
2002-01-02,spell-MTG-19960719,MTG,MTG,MTG,61.84000015258789,50.16429901123047,553300.0
2002-01-02,spell-NBR-20001018,NBR,NBR,Nabors Industries,825.75,705.5519409179688,94016.0
2002-01-02,spell-NI-20001102,NI,NI,NiSource,9.23772144317627,3.499357223510742,2544237.0
2002-01-02,spell-NKE-19960102,NKE,NKE,"Nike, Inc.",7.114999771118164,5.31527853012085,9688000.0
2002-01-02,spell-NTAP-19990625,NTAP,NTAP,NetApp,23.780000686645508,17.456830978393555,8245900.0
2002-01-02,spell-NTRS-19980130,NTRS,NTRS,Northern Trust,59.56999969482422,34.29142761230469,1367700.0
2002-01-02,spell-NVDA-20011130,NVDA,NVDA,Nvidia,0.5608329772949219,0.5141630172729492,1298904000.0
2002-01-02,spell-NWL-19960102,NWL,NWL,Newell Brands,27.309999465942383,12.151991844177246,651900.0
2002-01-02,spell-NYT-19960102,NYT,NYT,The New York Times Company,43.2599983215332,31.957489013671875,681600.0
2002-01-02,spell-PAYX-19981001,PAYX,PAYX,Paychex,34.599998474121094,16.691326141357422,2903800.0
2002-01-02,spell-PEG-19960102,PEG,PEG,Public Service Enterprise Group,21.53499984741211,8.342567443847656,1827800.0
2002-01-02,spell-PEP-19960102,PEP,PEP,PepsiCo,49.150001525878906,25.75346565246582,4791200.0
2002-01-02,spell-PFE-19960102,PFE,PFE,Pfizer,37.85578536987305,14.61924648284912,15270247.0
2002-01-02,spell-PG-19960102,PG,PG,Procter & Gamble,40.0,20.84512710571289,6261600.0
2002-01-02,spell-PGR-19970804,PGR,PGR,Progressive Corporation,12.334166526794434,6.372699737548828,4753200.0
2002-01-02,spell-PNC-19960102,PNC,PNC,PNC Financial Services,55.86000061035156,26.562898635864254,1232400.0
2002-01-02,spell-PNW-19991004,PNW,PNW,Pinnacle West Capital,42.43000030517578,14.453715324401855,447500.0
2002-01-02,spell-PPG-19960102,PPG,PPG,PPG Industries,25.68000030517578,14.490104675292969,1011600.0
2002-01-02,spell-QCOM-19990722,QCOM,QCOM,Qualcomm,26.024999618530277,16.01842498779297,18612800.0
2002-01-02,spell-RF-19980828,RF,RF,Regions Financial Corporation,24.28316879272461,11.034364700317385,789156.0
2002-01-02,spell-RHI-20001205,RHI,RHI,Robert Half,26.5,16.55971908569336,478600.0
2002-01-02,spell-ROK-19960102,ROK,ROK,Rockwell Automation,17.93000030517578,10.655818939208984,598000.0
2002-01-02,spell-SANM-20000621,SANM,SANM,SANM,121.5,121.5,1479467.0
2002-01-02,spell-SBUX-20000608,SBUX,SBUX,Starbucks,4.877500057220459,3.619246482849121,11298400.0
2002-01-02,spell-SCHW-19970602,SCHW,SCHW,Charles Schwab Corporation,15.5600004196167,11.281445503234863,2865600.0
2002-01-02,spell-SEE-19980401,SEE,SEE,Sealed Air,20.44499969482422,13.991174697875977,799600.0
2002-01-02,spell-SLM-19980701,SLM,SLM,SLM Corporation,9.803430557250977,7.208572864532471,7510951.0
2002-01-02,spell-SO-19960102,SO,SO,Southern Company,25.5,8.617866516113281,1662200.0
2002-01-02,spell-SPGI-19960102,SPGI,SPGI,S&P Global,29.75,19.6102237701416,1175800.0
2002-01-02,spell-SRE-19980629,SRE,SRE,Sempra,12.385000228881836,5.554505825042725,807400.0
2002-01-02,spell-STT-19970818,STT,STT,State Street Corporation,52.11000061035156,32.19571685791016,886600.0
2002-01-02,spell-SYK-20001212,SYK,SYK,Stryker Corporation,28.614999771118164,22.63753890991211,1180400.0
2002-01-02,spell-TGNA-19960102,TGNA,TGNA,Tegna,36.07022857666016,18.965410232543945,1976159.0
2002-01-02,spell-TJX-19960102,TJX,TJX,TJX Companies,4.953750133514404,3.684487819671631,12020000.0
2002-01-02,spell-TMO-19970102,TMO,TMO,Thermo Fisher Scientific,23.5,22.23296356201172,1332200.0
2002-01-02,spell-TROW-19991013,TROW,TROW,T. Rowe Price,17.260000228881836,8.641206741333008,1139600.0
2002-01-02,spell-TRV-19960102,TRV,TRV,Travelers Companies (The),43.619998931884766,24.147388458251957,883900.0
2002-01-02,spell-TWX-19960102,TWX,TWX,Time Warner,62.5380744934082,46.39361190795898,12376677.0
2002-01-02,spell-UIS-19960102,UIS,UIS,UIS,127.1999969482422,127.1999969482422,85120.0
2002-01-02,spell-UVN-20010207,UVN,UVN,UVN,0.1500000059604644,0.1500000059604644,0.0
2002-01-02,spell-VFC-19960102,VFC,VFC,VF Corporation,9.263182640075684,4.840135097503662,810943.0
2002-01-02,spell-VIAV-20000727,VIAV,VIAV,VIAV,41.54721450805664,41.54721450805664,6998642.0
2002-01-02,spell-VMC-19990701,VMC,VMC,Vulcan Materials Company,47.560001373291016,34.053062438964844,144100.0
2002-01-02,spell-VZ-19960102,VZ,VZ,Verizon,43.608158111572266,12.930755615234377,7011387.0
2002-01-02,spell-WAT-20020102,WAT,WAT,Waters Corporation,38.75,38.75,1661300.0
2002-01-02,spell-WOR-19960102,WOR,WOR,WOR,8.631319046020508,4.495343208312988,435669.0
2002-01-02,spell-XEL-19960102,XEL,XEL,Xcel Energy,28.209999084472656,10.87804889678955,899600.0
2002-01-02,spell-XOM-19960102,XOM,XOM,ExxonMobil,39.59999847412109,18.099327087402344,11261900.0
2002-01-02,spell-YUM-19971007,YUM,YUM,Yum! Brands,8.625089645385742,5.792359352111816,6378570.0
