date,member_id,symbol,quote_symbol,company_name,close,adj_close,volume
1989-01-03,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,12.791666984558104,5.288121700286865,143400.0
1989-01-03,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.8916490077972412,0.2415162324905395,47679.0
1989-01-03,permno-17137-19820408,BSET,BSET,BASSETT FURNITURE INDUSTRIES INC,20.799999237060547,4.276267528533936,66563.0
1989-01-03,permno-53858-19760701,FNB,FNB,FIRST CHICAGO CORP,9.208699226379396,1.2269811630249023,1881.0
1989-01-03,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,1.5509259700775146,0.7708014845848083,4152600.0
1989-01-03,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,4.298643112182617,4.298643112182617,14807.0
1989-01-03,permno-39300-19880512,NRT,NRT,NORTON CO,12.125,0.3959426581859588,11300.0
1989-01-03,permno-64064-19850912,PCLB,PCLB,PRICE CO,4.1875,1.0890095233917236,0.0
1989-01-04,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,12.833333015441896,5.305346012115479,108600.0
1989-01-04,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.8816859722137451,0.2388177961111068,173148.0
1989-01-04,permno-17137-19820408,BSET,BSET,BASSETT FURNITURE INDUSTRIES INC,21.333332061767575,4.3859171867370605,92250.0
1989-01-04,permno-53858-19760701,FNB,FNB,FIRST CHICAGO CORP,9.208699226379396,1.2269811630249023,0.0
1989-01-04,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,1.5833330154418943,0.7869076132774353,3015900.0
1989-01-04,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,4.5248870849609375,4.5248870849609375,39228.0
1989-01-04,permno-39300-19880512,NRT,NRT,NORTON CO,12.125,0.3959426581859588,7600.0
1989-01-04,permno-64064-19850912,PCLB,PCLB,PRICE CO,4.1875,1.0890095233917236,0.0
1989-01-05,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,12.875,5.322573184967041,91500.0
1989-01-05,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.9115740060806274,0.2469132393598556,195733.0
1989-01-05,permno-17137-19820408,BSET,BSET,BASSETT FURNITURE INDUSTRIES INC,21.06666755676269,4.331094741821289,16125.0
1989-01-05,permno-53858-19760701,FNB,FNB,FIRST CHICAGO CORP,9.062528610229492,1.2075055837631226,171.0
1989-01-05,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,1.578703999519348,0.7846068739891052,4716900.0
1989-01-05,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,4.411765098571777,4.411765098571777,23647.0
1989-01-05,permno-39300-19880512,NRT,NRT,NORTON CO,12.375,0.4041062295436859,13100.0
1989-01-05,permno-64064-19850912,PCLB,PCLB,PRICE CO,4.1875,1.0890095233917236,0.0
1989-01-06,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,12.958333015441896,5.357023239135742,90600.0
1989-01-06,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.9165549874305724,0.2482624799013137,524464.0
1989-01-06,permno-17137-19820408,BSET,BSET,BASSETT FURNITURE INDUSTRIES INC,21.06666755676269,4.331094741821289,9375.0
1989-01-06,permno-53858-19760701,FNB,FNB,FIRST CHICAGO CORP,9.208699226379396,1.2269811630249023,8210.0
1989-01-06,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,1.444443941116333,0.7178807258605957,41234400.0
1989-01-06,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,4.864253044128418,4.864253044128418,419348.0
1989-01-06,permno-39300-19880512,NRT,NRT,NORTON CO,12.375,0.4041062295436859,900.0
1989-01-06,permno-64064-19850912,PCLB,PCLB,PRICE CO,4.0625,1.0565016269683838,22000.0
1989-01-09,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,12.833333015441896,5.305346012115479,59400.0
1989-01-09,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.956404983997345,0.2590564489364624,1031362.0
1989-01-09,permno-17137-19820408,BSET,BSET,BASSETT FURNITURE INDUSTRIES INC,20.933332443237305,4.303680896759033,79500.0
1989-01-09,permno-53858-19760701,FNB,FNB,FIRST CHICAGO CORP,9.208699226379396,1.2269811630249023,3421.0
1989-01-09,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,1.3657410144805908,0.6787657141685486,21805200.0
1989-01-09,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,4.751131057739258,4.751131057739258,61328.0
1989-01-09,permno-39300-19880512,NRT,NRT,NORTON CO,12.0,0.3918606340885162,6400.0
1989-01-09,permno-64064-19850912,PCLB,PCLB,PRICE CO,4.1875,1.0890095233917236,16000.0
1989-01-10,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,12.875,5.322573184967041,32100.0
1989-01-10,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.9514240026474,0.2577072381973266,228355.0
1989-01-10,permno-17137-19820408,BSET,BSET,BASSETT FURNITURE INDUSTRIES INC,20.933332443237305,4.303680896759033,1875.0
1989-01-10,permno-53858-19760701,FNB,FNB,FIRST CHICAGO CORP,9.208699226379396,1.2269811630249023,4276.0
1989-01-10,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,1.3981479406356812,0.6948717832565308,8683200.0
1989-01-10,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,4.751131057739258,4.751131057739258,40775.0
1989-01-10,permno-39300-19880512,NRT,NRT,NORTON CO,12.0,0.3918606340885162,7100.0
1989-01-10,permno-64064-19850912,PCLB,PCLB,PRICE CO,4.375,1.1377708911895752,200.0
1989-01-11,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,12.916666984558104,5.339796543121338,65700.0
1989-01-11,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.9514240026474,0.2577072381973266,87829.0
1989-01-11,permno-17137-19820408,BSET,BSET,BASSETT FURNITURE INDUSTRIES INC,21.333332061767575,4.3859171867370605,56625.0
1989-01-11,permno-53858-19760701,FNB,FNB,FIRST CHICAGO CORP,9.208699226379396,1.2269811630249023,2394.0
1989-01-11,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,1.361111044883728,0.676464319229126,9790200.0
1989-01-11,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,4.638009071350098,4.638009071350098,120666.0
1989-01-11,permno-39300-19880512,NRT,NRT,NORTON CO,12.25,0.4000244736671448,8100.0
1989-01-11,permno-64064-19850912,PCLB,PCLB,PRICE CO,4.375,1.1377708911895752,0.0
1989-01-12,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,12.875,5.322573184967041,90600.0
1989-01-12,permno-16571-19570301,BN,BN,BORDEN CO; BORDEN INC,0.9663680195808412,0.2617550492286682,145545.0
1989-01-12,permno-17137-19820408,BSET,BSET,BASSETT FURNITURE INDUSTRIES INC,21.06666755676269,4.331094741821289,21750.0
1989-01-12,permno-53858-19760701,FNB,FNB,FIRST CHICAGO CORP,9.208699226379396,1.2269811630249023,5302.0
1989-01-12,permno-26657-19581210,GAP,GAP,GREAT ATLANTIC & PAC TEA INC,1.3240740299224854,0.6580571532249451,5259600.0
1989-01-12,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,4.751131057739258,4.751131057739258,81881.0
1989-01-12,permno-39300-19880512,NRT,NRT,NORTON CO,12.375,0.4041062295436859,9900.0
1989-01-12,permno-64064-19850912,PCLB,PCLB,PRICE CO,4.0,1.0402475595474243,1000.0
1989-01-13,permno-26649-19680808,ASA,ASA,AMERICAN SOUTH AFRICAN INVT LTD; A S A GOLD & PRECIOUS METALS LTD; A S A LTD; A S A BERMUDA LTD,13.0,5.374247550964356,259500.0
