date,member_id,symbol,quote_symbol,company_name,close,adj_close,volume
1975-01-02,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,2.941175937652588,2.941175937652588,5525.0
1975-01-02,permno-16969-19570301,GTY,GTY,GRANT W T CO,0.2244109958410263,0.0310026425868272,0.0
1975-01-02,permno-21928-19661215,IDA,IDA,IDAHO POWER CO; IDACORP INC,12.1875,1.900289535522461,7800.0
1975-01-02,permno-25590-19720928,NFG,NFG,NATIONAL FUEL GAS CO N J,1.931818008422852,0.4337079226970672,7920.0
1975-01-02,permno-21231-19570301,WGL,WGL,WASHINGTON GAS LT CO; W G L HOLDINGS INC,3.3125,0.6189634203910828,10400.0
1975-01-03,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,3.054299116134644,3.054299116134644,2873.0
1975-01-03,permno-16969-19570301,GTY,GTY,GRANT W T CO,0.2244109958410263,0.0310026425868272,0.0
1975-01-03,permno-21928-19661215,IDA,IDA,IDAHO POWER CO; IDACORP INC,12.625,1.968505859375,8000.0
1975-01-03,permno-25590-19720928,NFG,NFG,NATIONAL FUEL GAS CO N J,1.9460229873657229,0.4368966519832611,19360.0
1975-01-03,permno-21231-19570301,WGL,WGL,WASHINGTON GAS LT CO; W G L HOLDINGS INC,3.4375,0.6423202157020569,10800.0
1975-01-06,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,3.167421102523804,3.167421102523804,5415.0
1975-01-06,permno-16969-19570301,GTY,GTY,GRANT W T CO,0.2244109958410263,0.0310026425868272,1337.0
1975-01-06,permno-21928-19661215,IDA,IDA,IDAHO POWER CO; IDACORP INC,12.875,2.00748610496521,2400.0
1975-01-06,permno-25590-19720928,NFG,NFG,NATIONAL FUEL GAS CO N J,1.9886360168457031,0.4464637339115143,5280.0
1975-01-06,permno-21231-19570301,WGL,WGL,WASHINGTON GAS LT CO; W G L HOLDINGS INC,3.375,0.6306419372558594,4400.0
1975-01-07,permno-21055-19570301,GCO,GCO,GENESCO INC; GENERAL SHOE CORP,2.941175937652588,2.941175937652588,4531.0
1975-01-07,permno-16969-19570301,GTY,GTY,GRANT W T CO,0.2244109958410263,0.0310026425868272,5347.0
1975-01-07,permno-21928-19661215,IDA,IDA,IDAHO POWER CO; IDACORP INC,13.125,2.04646635055542,3600.0
1975-01-07,permno-25590-19720928,NFG,NFG,NATIONAL FUEL GAS CO N J,1.9460229873657229,0.4368966519832611,3520.0
1975-01-07,permno-21231-19570301,WGL,WGL,WASHINGTON GAS LT CO; W G L HOLDINGS INC,3.4375,0.6423202157020569,5600.0
