date,member_id,symbol,quote_symbol,company_name,close,adj_close,volume
1996-01-02,spell-ABT-19960102,ABT,ABT,Abbott Laboratories,9.370805740356444,4.458479404449463,8099784.0
1996-01-02,spell-AEP-19960102,AEP,AEP,American Electric Power,41.25,10.614282608032228,600000.0
1996-01-02,spell-AIG-19960102,AIG,AIG,American International Group,442.6666564941406,256.3473815917969,163709.0
1996-01-02,spell-BA-19960102,BA,BA,Boeing,39.9375,24.53277015686035,2617800.0
1996-01-02,spell-BF_B-19960102,BF.B,BF-B,Brown–Forman,4.013332843780518,2.18454647064209,464063.0
1996-01-02,spell-BMY-19960102,BMY,BMY,Bristol Myers Squibb,20.37397575378418,7.004410266876221,4047587.0
1996-01-02,spell-CAL-19960102,CAL,CAL,CAL,6.6666669845581055,3.5772876739501958,149175.0
1996-01-02,spell-CAR-19960102,CAR,CAR,CAR,36.79999923706055,32.00638198852539,677250.0
1996-01-02,spell-CAT-19960102,CAT,CAT,Caterpillar Inc.,14.875,7.026793479919434,4534000.0
1996-01-02,spell-CB-19960102,CB,CB,Chubb Limited,13.125,7.356645107269287,249300.0
1996-01-02,spell-CL-19960102,CL,CL,Colgate-Palmolive,8.859375,4.677984237670898,2901600.0
1996-01-02,spell-CNP-19960102,CNP,CNP,CenterPoint Energy,20.75887489318848,4.693660259246826,693832.0
1996-01-02,spell-COP-19960102,COP,COP,ConocoPhillips,12.959381103515623,4.981215000152588,1271913.0
1996-01-02,spell-CPB-19960102,CPB,CPB,Campbell's Company (The),29.9375,12.057205200195312,515200.0
1996-01-02,spell-CVS-19960102,CVS,CVS,CVS Health,7.96875,4.256381511688232,745600.0
1996-01-02,spell-DE-19960102,DE,DE,Deere & Company,17.75,9.878118515014648,3296400.0
1996-01-02,spell-DTE-19960102,DTE,DTE,DTE Energy,29.680850982666016,7.788230419158935,493030.0
1996-01-02,spell-ECL-19960102,ECL,ECL,Ecolab,7.4375,5.149116039276123,287200.0
1996-01-02,spell-ED-19960102,ED,ED,Consolidated Edison,32.5,7.933279514312744,451200.0
1996-01-02,spell-EIX-19960102,EIX,EIX,Edison International,17.875,6.415219783782959,1780600.0
1996-01-02,spell-ETN-19960102,ETN,ETN,Eaton Corporation,11.930874824523926,4.751389980316162,523683.0
1996-01-02,spell-ETR-19960102,ETR,ETR,Entergy,14.625,4.25239896774292,1174400.0
1996-01-02,spell-F-19960102,F,F,Ford Motor Company,10.72047996520996,3.6198441982269287,5622923.0
1996-01-02,spell-FMCC-19960102,FMCC,FMCC,FMCC,20.75,16.379297256469727,2534400.0
1996-01-02,spell-FNMA-19960102,FNMA,FNMA,FNMA,31.375,23.744287490844727,5216400.0
1996-01-02,spell-GD-19960102,GD,GD,General Dynamics,15.0625,8.040074348449707,1006800.0
1996-01-02,spell-GE-19960102,GE,GE,GE Aerospace,58.70735931396485,29.71649932861328,3212937.0
1996-01-02,spell-GLW-19960102,GLW,GLW,Corning Inc.,10.375,5.311484336853027,977100.0
1996-01-02,spell-HAL-19960102,HAL,HAL,Halliburton,11.763716697692873,7.286165237426758,1450982.0
1996-01-02,spell-HPQ-19960102,HPQ,HPQ,HP Inc.,9.48001766204834,3.9881751537323,12991800.0
1996-01-02,spell-HSY-19960102,HSY,HSY,Hershey Company (The),16.53125,8.425753593444824,507600.0
1996-01-02,spell-IBM-19960102,IBM,IBM,IBM,21.719646453857425,10.83091640472412,10495146.0
1996-01-02,spell-IP-19960102,IP,IP,International Paper,36.53864669799805,13.38828945159912,3103882.0
1996-01-02,spell-KEY-19960102,KEY,KEY,KeyCorp,18.125,6.259280204772949,1072400.0
1996-01-02,spell-KMB-19960102,KMB,KMB,Kimberly-Clark,38.95014572143555,15.093597412109377,2145242.0
1996-01-02,spell-KO-19960102,KO,KO,Coca-Cola Company (The),18.75,8.657430648803711,7598800.0
1996-01-02,spell-KR-19960102,KR,KR,Kroger,4.6875,3.283851861953736,1972000.0
1996-01-02,spell-LOW-19960102,LOW,LOW,Lowe's,4.234375,2.874563694000244,2511200.0
1996-01-02,spell-MCO-19960102,MCO,MCO,Moody's Corporation,9.125,7.085118770599365,2184800.0
1996-01-02,spell-MD-19960102,MD,MD,MD,6.9375,6.9375,230800.0
1996-01-02,spell-MDT-19960102,MDT,MDT,Medtronic,13.0,7.834589958190918,5743200.0
1996-01-02,spell-MMM-19960102,MMM,MMM,3M,28.323579788208008,12.023404121398926,2417594.0
1996-01-02,spell-MO-19960102,MO,MO,Altria,30.625,1.2713172435760498,6413700.0
1996-01-02,spell-MRK-19960102,MRK,MRK,Merck & Co.,30.65362548828125,11.076807975769045,6354234.0
1996-01-02,spell-MSI-19960102,MSI,MSI,Motorola Solutions,71.15473937988281,48.0885124206543,2182233.0
1996-01-02,spell-NKE-19960102,NKE,NKE,"Nike, Inc.",4.445312976837158,3.228309869766236,10395200.0
1996-01-02,spell-NWL-19960102,NWL,NWL,Newell Brands,26.375,9.952914237976074,152000.0
